id,river_section_id,wtype,feat_type,name,name_ascii,macronated,length_m
46542,6818507,other,river_cl,Waiwhetū Stream,Waiwhetu Stream,Y,7004.8
46539,7640659,other,river_cl,,,N,3666.9
46536,6818490,other,river_cl,McKerrow Stream,McKerrow Stream,N,3617.1
46540,7640661,other,river_cl,Porirua Stream,Porirua Stream,N,3319.1
86462,6818513,other,river_cl,Mawaihakona Stream,Mawaihakona Stream,N,3307.9
86411,7640741,other,river_cl,,,N,3283.5
46546,6818512,other,river_cl,,,N,3280.6
46538,7640660,other,river_cl,,,N,3198.2
86416,6858296,other,river_cl,Porirua Stream,Porirua Stream,N,3055.1
86284,7640718,other,river_cl,,,N,2943.6
46545,6818510,other,river_cl,Duck Creek,Duck Creek,N,2924.3
46531,6818487,other,river_cl,,,N,2848.9
46548,6818511,other,river_cl,Taupō Stream,Taupo Stream,Y,2838.0
86400,7640729,other,river_cl,,,N,2729.3
46541,6818506,other,river_cl,,,N,2728.3
86494,6858412,other,river_cl,,,N,2727.3
86477,6858325,other,river_cl,,,N,2714.3
86303,7640721,other,river_cl,North Mākara Stream,North Makara Stream,Y,2680.0
86469,6858371,other,river_cl,Cooleys Stream,Cooleys Stream,N,2663.0
46535,6818489,other,river_cl,Butterfly Creek,Butterfly Creek,N,2647.3
46530,7640658,other,river_cl,Kaiwharawhara Stream,Kaiwharawhara Stream,N,2583.5
430598,6999658,other,river_cl,,,N,2571.7
86463,6858364,other,river_cl,,,N,2531.3
86414,6858294,other,river_cl,Mitchell Stream,Mitchell Stream,N,2526.8
86306,7640723,other,river_cl,Ohariu Stream,Ohariu Stream,N,2500.8
86489,6858341,other,river_cl,,,N,2438.2
86317,6858107,other,river_cl,,,N,2437.3
46543,6818508,other,river_cl,,,N,2394.2
89387,6860735,other,river_cl,,,N,2365.7
86405,7640735,other,river_cl,,,N,2356.2
86418,6858298,other,river_cl,Takapuwahia Stream,Takapuwahia Stream,N,2342.3
86468,6858370,other,river_cl,Black Stream,Black Stream,N,2340.4
87001,6858432,other,river_cl,,,N,2308.1
86282,7640699,other,river_cl,,,N,2251.8
86402,7640732,other,river_cl,,,N,2232.2
86321,6858097,other,river_cl,Paiaka Stream,Paiaka Stream,N,2206.6
46547,6818514,other,river_cl,,,N,2164.1
429336,7640714,other,river_cl,,,N,2141.1
86302,7640720,other,river_cl,Kaiwharawhara Stream,Kaiwharawhara Stream,N,2129.9
46544,6818509,other,river_cl,,,N,2129.8
432860,6858442,other,river_cl,Phillips Stream,Phillips Stream,N,2128.0
86318,6858106,other,river_cl,,,N,2117.6
87000,6858433,other,river_cl,,,N,2112.2
86322,6858110,other,river_cl,Ōkākaho Stream,Okakaho Stream,Y,2082.6
86311,6858101,other,river_cl,Barneys Stream,Barneys Stream,N,2066.9
86367,6858150,other,river_cl,Wainuiomata Stream,Wainuiomata Stream,N,2066.0
86291,7640708,other,river_cl,Silver Stream,Silver Stream,N,2060.6
86366,6858146,other,river_cl,,,N,2049.9
3151,6771323,other,drain_cl,,,N,2040.9
86296,7640713,other,river_cl,,,N,2034.0
430134,8171082,other,river_cl,Kenepuru Stream,Kenepuru Stream,N,2024.0
86492,6858409,other,river_cl,,,N,2014.4
86420,6858321,other,river_cl,,,N,1991.5
86476,6999669,other,river_cl,Horokiri Stream,Horokiri Stream,N,1972.3
86287,7640703,other,river_cl,,,N,1969.4
429403,7640728,other,river_cl,,,N,1955.9
86417,6999460,other,river_cl,Kenepuru Stream,Kenepuru Stream,N,1953.7
86443,6858317,other,river_cl,,,N,1947.3
86406,7640736,other,river_cl,,,N,1929.3
86380,6858236,other,river_cl,Telephone Creek,Telephone Creek,N,1925.5
86333,6858124,other,river_cl,Nettle Stream,Nettle Stream,N,1923.5
86314,6858105,other,river_cl,Red Rock Stream,Red Rock Stream,N,1921.9
86509,6858429,other,river_cl,,,N,1912.0
86448,6858344,other,river_cl,,,N,1901.9
86407,7640737,other,river_cl,Porirua Stream,Porirua Stream,N,1897.4
430568,6858333,other,river_cl,,,N,1893.2
86483,6858334,other,river_cl,,,N,1882.0
86493,6858411,other,river_cl,,,N,1878.6
429660,6998711,other,river_cl,,,N,1857.1
429217,7640849,other,river_cl,Waipapa Stream,Waipapa Stream,N,1855.3
86424,6999474,other,river_cl,,,N,1845.8
429213,7640700,other,river_cl,,,N,1839.1
429402,7640727,other,river_cl,,,N,1834.1
86315,7705076,other,river_cl,Kotumu Stream,Kotumu Stream,N,1813.7
86373,6858229,other,river_cl,,,N,1803.6
86299,7640715,other,river_cl,,,N,1803.3
86505,6858425,other,river_cl,,,N,1800.4
46532,6858112,other,river_cl,,,N,1794.7
86457,6858359,other,river_cl,,,N,1784.8
87002,6858434,other,river_cl,,,N,1780.3
86294,7640709,other,river_cl,,,N,1775.5
429745,6998796,other,river_cl,,,N,1766.8
430734,7000229,other,river_cl,,,N,1760.7
86308,7640726,other,river_cl,,,N,1750.2
86280,7640701,other,river_cl,,,N,1742.2
86298,7640712,other,river_cl,North Mākara Stream,North Makara Stream,Y,1728.1
86304,7640722,other,river_cl,,,N,1726.6
86458,6858360,other,river_cl,Huia Stream,Huia Stream,N,1724.0
86313,6858104,other,river_cl,,,N,1721.6
86446,6999614,other,river_cl,,,N,1721.2
86498,7000204,other,river_cl,,,N,1718.6
86285,7640984,other,river_cl,,,N,1692.7
430681,7000174,other,river_cl,,,N,1692.3
429512,6998601,other,river_cl,Graces Stream,Graces Stream,N,1687.9
86415,6858295,other,river_cl,Takapu Stream,Takapu Stream,N,1687.4
86473,6858376,other,river_cl,,,N,1677.3
86316,7705077,other,river_cl,,,N,1671.2
430169,6858303,other,river_cl,,,N,1669.1
86312,6858102,other,river_cl,Plumbago Stream,Plumbago Stream,N,1663.8
86438,6858313,other,river_cl,,,N,1658.0
429216,7640847,other,river_cl,,,N,1656.3
86323,6858111,other,river_cl,Paiaka Stream,Paiaka Stream,N,1654.4
86327,6858118,other,river_cl,,,N,1651.6
87014,6858449,other,river_cl,,,N,1646.0
86472,6858375,other,river_cl,Mahers Stream,Mahers Stream,N,1645.3
86293,7640909,other,river_cl,Mākara Stream,Makara Stream,Y,1642.0
430131,6858299,other,river_cl,,,N,1639.0
429268,7640883,other,river_cl,,,N,1627.0
86343,6998644,other,river_cl,,,N,1625.0
429698,6998754,other,river_cl,Tūrere Stream,Turere Stream,Y,1624.4
86484,6858335,other,river_cl,,,N,1623.7
86305,7640724,other,river_cl,,,N,1621.3
429471,6858114,other,river_cl,Catchpool Stream,Catchpool Stream,N,1610.9
430040,7640731,other,river_cl,,,N,1603.9
430058,7641071,other,river_cl,Mill Creek,Mill Creek,N,1603.6
86371,6858154,other,river_cl,,,N,1600.5
430375,6999912,other,river_cl,Huia Stream,Huia Stream,N,1597.9
86444,6999608,other,river_cl,,,N,1597.2
86368,6858149,other,river_cl,,,N,1596.0
430620,6999789,other,river_cl,,,N,1594.7
86295,7640710,other,river_cl,,,N,1592.9
