Event name (cohort),Loss date,Territorial Location,Basis of settlement,Natural hazard type,Damaged land description,Damaged land area (m2),Total insured land area (m2),Insured land structures damaged,Shared or common land,Imminent Damage,Value of imminent damage,Maori Land,"Is the damaged land directly supporting or protecting the dwelling, accessway, or appurtenant structures?",Indicative land repair cost ($),Land valuation cap ($),Undepreciated repair cost for damaged land structures ($),Indemnity value of damaged land structures ($),Imminent Risk to Building ($),Settlement amount ($),Financial difference between the settlement amount and the indicative cost to repair the damage ($),Expert cost: Engineering ($),Expert cost: Valuer ($),Expert cost: other ($),Time to close claim (days),limited or no info,Incl in final cohort?,Excess ($),Number of dwellings
NHI Act,2025-05-09 00:00:00,WAIKATO DISTRICT,Valuation,Landslip,Evacuation/Inundation,9.5,450.0,No,No,Yes,5300,No,Yes - dwelling,41645.07,21500.0,0,0,0.0,21500.0,20145.07,7802.0,1035.0,3839.85,121,0,Y,500,1
NHI Act,2024-09-17 00:00:00,PORIRUA CITY,Remediation,Landslip,"cracking, rotation, evacuation, displacement, interior damage",57.0,1416.0,Yes,No,Yes,8700,No,Yes - dwelling,82334.0,111200.0,59758,0,0.0,82334.0,0.0,15562.0,1159.0,7630.0,268,0,Y,500,1
NHI Act,2025-05-01 00:00:00,CHRISTCHURCH CITY,Valuation,Storm,Evacuation & Scour,6.2,1000.0,Yes,No,Yes,550,No,Yes - Accessway,130315.7,31550.0,100415.7,0,0.0,31550.0,98765.7,9775.0,517.5,0.0,134,0,Y,500,1
NHI Act,2025-07-11 00:00:00,TASMAN DISTRICT,Remediation,Flood,silt inundation  & evacuation,215.6,4000.0,No,No,No,0,0,Yes - Accessway,5933.08,40300.0,0,0,0.0,5933.08,0.0,0.0,1533.01,6393.72,210,0,Y,500,1
NHI Act,2025-07-06 00:00:00,MANAWATU DISTRICT,Valuation,Landslip,Inundation / RTW,15.0,350.0,Yes,No,No,0,No,Yes - combination,48543.43,17430.24,11780.24,0,0.0,17430.24,31113.19,11530.77,805.0,7494.4,170,0,Y,500,1
NHI Act,2025-07-11 00:00:00,TASMAN DISTRICT,Remediation,Flood,flood water damage to driveway,310.0,4000.0,No,No,No,0,No,Yes - Accessway,9104.72,34900.0,0,0,0.0,9104.72,0.0,0.0,1364.64,380.59,48,0,Y,500,1
NHI Act,2025-07-11 00:00:00,TASMAN DISTRICT,Valuation,Landslip,evacuation land,49.0,4000.0,No,No,Yes,200,No,Yes - combination,40122.18,3900.0,0,0,0.0,3900.0,36222.18,6493.68,184.0,862.5,225,0,Y,1000,1
NHI Act,2024-09-03 00:00:00,Wellington City,Valuation,Landslip,evacuation of land,7.5,4000.0,No,Yes,Yes,11500,No,Yes - Accessway,12815.38,2880.0,0,0,0.0,2880.0,9935.38,0.0,0.0,0.0,73,0.2,Y,500,1
NHI Act,2025-05-18 00:00:00,WELLINGTON CITY,Valuation,Landslip,"evacuation of land, collapse & damaged RTW, inundation on accessway",20.0,262.0,Yes,Yes,Yes,7450,No,Yes - combination,43820.94,32399.45,8441.11,0,1537.33,32399.44,11421.5,17434.35,1782.5,8542.44,128,0,Y,500,1
NHI Act,2024-10-05 00:00:00,CLUTHA DISTRICT,Remediation,Landslip,inundation ,377.6,4000.0,No,No,No,0,No,Yes - combination,21638.3,59057.66,0,0,0.0,21638.3,0.0,0.0,0.0,0.0,66,0,Y,500,1
NHI Act,2025-07-29 00:00:00,OPOTIKI DISTRICT,Valuation,Landslip,Evacuation and Inundation to accessway,28.5,2175.0,No,Yes,Yes,325,No,Yes - Accessway,49732.0,2625.0,0,0,0.0,2625.0,47107.0,0.0,0.0,3230.12,88,Multi-party land claim - fees paid by lead,Y,500,1
NHI Act,2024-09-17 00:00:00,AUCKLAND,Remediation,Storm,Inundation,4.5,400.0,Yes,No,Yes,390,No,Yes - dwelling,5895.23,27320.5,23620.5,0,0.0,5895.23,0.0,14730.93,1184.5,13364.5,336,0,Y,500,1
NHI Act,2025-07-03 00:00:00,TASMAN DISTRICT,Remediation,Landslip,Inundation/Scour ,571.0,4000.0,No,No,Yes,0,No,No,23129.14,50100.0,0,0,0.0,23129.14,0.0,9197.13,1104.0,2610.0,211,0,Y,500,1
NHI Act,2025-06-05 00:00:00,TIMARU DISTRICT,Remediation,Flood,Evacuation main access way,85.0,4000.0,No,No,No,0,No,Yes - Accessway,5689.0,9500.0,0,0,0.0,5689.0,0.0,0.0,517.5,0.0,43,0,Y,500,1
NHI Act,2025-05-10 00:00:00,TAURANGA CITY,Valuation,Landslip,"Evacuation, inundation, RTW and  stormwater pipe damage",7.5,350.0,Yes,No,Yes,850,No,Yes - dwelling,45486.27,22629.21,20179.31,0,625.86,23255.07,22231.2,7225.34,1059.44,5229.85,107,0,Y,500,1
NHI Act,2024-10-04 00:00:00,DUNEDIN CITY,Valuation,Landslip,Evacuation land,101.0,500.0,No,No,Yes,4850,No,0,122241.68,18070.0,0,0,0.0,18070.0,104171.68,9247.77,1121.25,6484.45,143,0,Y,500,1
