Cohort,TLA,Primary Loss Date,Settlement Amount Range,Maori Land,Primary_Loss_Cause,Claim_Status_Code,Damaged Land Structures,Total Settlement Amount,Land Excess Amount,MinimumSizeSite,TotalCosttoRepair,TotalValuation,Settlment_Basis,Total Agency Fees,Total Passthrough Costs,Associated Building Claim Settlement Amount,Number_Of_Residential_Dwellings
NHI Act,TASMAN DISTRICT,2025-07-11,[0-40K],,Landslip,Closed,No,32750.0,500,650000.0,113968.95,40600.0,Valuation,1023.5,7039.48,344500.0,1
NHI Act,WHANGAREI DISTRICT,2026-01-22,[40K-80K],,Landslip,Closed,No,68500.0,500,600000.0,69646.49,69000.0,Valuation,,16203.8,5884.36,1
NHI Act,NAPIER CITY,2026-01-20,[0-40K],,Landslip,Closed,No,1386.0,500,375000.0,1886.0,2100.0,Cost to Repair,1129.32,13641.12,9564.0,1
NHI Act,DUNEDIN CITY,2024-10-04,[0-40K],,Landslip,Closed,Yes,37943.0,500,180042.51,148332.83,39542.51,Valuation,1103.29,16243.34,2954.01,1
NHI Act,TASMAN DISTRICT,2025-06-27,[0-40K],,Flood,Closed,No,1541.0,500,0.0,2041.0,14061.0,Cost to Repair,1103.29,3035.28,,1
NHI Act,THAMES-COROMANDEL DISTRICT,2026-01-21,[0-40K],,Landslip,Closed,No,11900.0,500,1000000.0,99507.29,12400.0,Valuation,1129.32,10586.08,3612.52,1
NHI Act,DUNEDIN CITY,2024-10-04,[40K-80K],,Landslip,Closed,No,49384.94,500,320000.0,49884.94,117700.0,Cost to Repair,3128.0,25767.62,1308.02,1
NHI Act,WELLINGTON CITY,2024-09-01,[40K-80K],,Landslip,Closed,No,60160.0,1000,845000.0,134623.99,82520.0,Valuation,1103.29,17063.87,846.89,2
NHI Act,OPOTIKI DISTRICT,2025-07-30,[0-40K],,Landslip,Closed,Yes,30263.04,500,432781.82,30763.04,155281.82,Cost to Repair,1023.5,11161.73,167379.4,1
NHI Act,WELLINGTON CITY,2025-04-05,[0-40K],,Landslip,Closed,Yes,34768.32,500,463513.87,38915.89,37898.32,Valuation,1023.5,8788.88,2125.84,1
NHI Act,HAURAKI DISTRICT,2026-01-22,[0-40K],,Flood,Closed,No,5848.0,500,260000.0,6347.3,17150.0,Cost to Repair,1129.32,5010.28,,1
NHI Act,NEW PLYMOUTH DISTRICT,2024-08-27,[0-40K],,Landslip,Closed,No,4100.0,500,240000.0,4600.0,4600.0,Valuation,,17342.63,7008.98,1
NHI Act,AUCKLAND,2026-01-21,[0-40K],,Landslip,Closed,No,500.0,500,625000.0,44591.55,1000.0,Valuation,1129.32,12972.15,,1
NHI Act,TASMAN DISTRICT,2025-07-11,[0-40K],,Landslip,Closed,No,6800.0,500,450000.0,101999.91,10100.0,Valuation,1103.29,8297.51,6785.17,1
NHI Act,NELSON CITY,2025-06-27,[0-40K],,Flood,Closed,Yes,17343.0,500,415842.15,43999.77,18442.15,Valuation,1103.29,10743.76,1518.0,1
