project_number,subproject_number,subproject,report_path,last_modified
1502000,0001,1502000.0001,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0001\IssuedDocuments\Final\T+T_2021-IAG-C3781306-Report.docx,2021-11-07
1502000,0002,1502000.0002,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0002\IssuedDocuments\Final report\T+T_Final report_26 Blackbridge Road.docx,2021-08-23
1502000,0003,1502000.0003,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0003\IssuedDocuments\Additional details requested 1 Feb 22\T+T_2021-IAG-C3917925_Report - December 2021 claim.docx,2022-02-25
1502000,0004,1502000.0004,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0004\IssuedDocuments\Final report\T+T_2021-IAG-7973696-Report V3.docx,2021-11-02
1502000,0005,1502000.0005,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0005\IssuedDocuments\Final Report\T+T_2021-IAG-C3781361_Final Report.docx,2021-08-29
1502000,0006,1502000.0006,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0006\IssuedDocuments\Final\T+T_2021-IAG-C3784885_Final Report.docx,2021-08-19
1502000,0007,1502000.0007,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0007\IssuedDocuments\Final Report\T+T_2021-IAG-C3782770_Final Report.docx,2021-09-01
1502000,0008,1502000.0008,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0008\IssuedDocuments\Final report\T+T_Final Report_64 Old Porirua Road.docx,2021-09-01
1502000,0009,1502000.0009,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0009\IssuedDocuments\Final report\T+T_Final Report_40 Rangiora Ave.docx,2021-08-26
1502000,0010,1502000.0010,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0010\IssuedDocuments\T+T_AA Insurance-P034047763_Report.docx,2021-10-13
1502000,0013,1502000.0013,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0013\IssuedDocuments\T&T_2021-IAG-C3782007_Report.docx,2021-08-27
1502000,0014,1502000.0014,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0014\IssuedDocuments\T&T_2021-IAG-C3781875_Report.docx,2021-08-30
1502000,0015,1502000.0015,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0015\IssuedDocuments\Final\T+T_2021-IAG-C3784958_Report.docx,2021-09-06
1502000,0016,1502000.0016,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0016\IssuedDocuments\T+T_2021-AA-P034077276_Report V2.docx,2021-10-13
1502000,0017,1502000.0017,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0017\IssuedDocuments\T&T_2021 - IAG - 510 Evans Bay Pde-Report.docx,2021-09-01
1502000,0018,1502000.0018,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0018\IssuedDocuments\Final report\T+T_Final report_21 Ladbrooke Drive.docx,2021-08-23
1502000,0019,1502000.0019,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0019\IssuedDocuments\T+T_2021-IAG-0610473_Final Report.docx,2021-09-01
1502000,0020,1502000.0020,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0020\IssuedDocuments\T+T_2021_IAG-C3781758_Report.docx,2021-09-10
1502000,0021,1502000.0021,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0021\IssuedDocuments\Final\T+T_2021_IAG-C3781343_Report.docx,2021-09-09
1502000,0022,1502000.0022,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0022\IssuedDocuments\T+T_2021-IAG-3782384_Final Report V2.docx,2021-12-09
1502000,0023,1502000.0023,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0023\IssuedDocuments\T&T_2021-IAG-C3782562_Report.docx,2021-09-19
1502000,0024,1502000.0024,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0024\IssuedDocuments\Final Report\T+T_2021_IAG-C3782735_Report.docx,2021-10-10
1502000,0026,1502000.0026,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0026\IssuedDocuments\T+T_2021-IAG-C0616083_Final Report.docx,2021-09-09
1502000,0027,1502000.0027,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0027\IssuedDocuments\V3\T+T_2021-IAG-C0616144_Final Report V3.docx,2023-01-26
1502000,0029,1502000.0029,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0029\IssuedDocuments\Final Report\T+T-2021-IAG-C3786708_Final Report.docx,2021-09-07
1502000,0030,1502000.0030,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0030\IssuedDocuments\T+T_2021-IAG-C3783937_Report V3.docx,2021-09-24
1502000,0031,1502000.0031,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0031\IssuedDocuments\T+T_2021-IAG-7972724_Final Report.docx,2021-09-07
1502000,0033,1502000.0033,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0033\IssuedDocuments\Extra Request Dec 2023\Final Report\T+T_2023_AMI-C3780975_Report.docx,2024-02-12
1502000,0034,1502000.0034,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0034\IssuedDocuments\Final report\T+T_Report_387 Karaka Bay Road.docx,2021-09-28
1502000,0035,1502000.0035,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0035\IssuedDocuments\T&T_2021_IAG-C3789431_Report.docx,2021-10-05
1502000,0036,1502000.0036,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0036\IssuedDocuments\T+T_Report_91 Gordon Street_C3775564.docx,2021-09-06
1502000,0037,1502000.0037,\\ttgroup.local\corporate\Auckland\Projects\1502000\1502000.0037\IssuedDocuments\Final Report\T+T_2021-IAG-C3798282_Final Report.docx,2021-09-21
